NOMBRE,FAMILIA,PRECIO_COMPRA,PRECIO_VENTA,IVA,MARGEN,EAN,ALTA,CANTIDAD,CANTIDAD_RESTOCK,PROVEEDOR,,,,,,,,,,,,,,
GALLETAS MARIA ORO,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.62,1,10,20,8434165452145,1,0,20,90360,,,,,,,,,,,,,,0
CHIQUILIN CHIQUI CHOCS,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.76,1,10,20,8436048961881,1,0,20,90416,,,,,,,,,,,,,,0
AVENACOL,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.63,1,10,20,8434165483071,1,0,20,90391,,,,,,,,,,,,,,0
ROLLINO NOCCIOLA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.64,1.09,10,20,8001585001309,1,0,20,81002,,,,,,,,,,,,,,0
ROLLINO LATTE MILKI CREAM,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.89,1.09,10,20,8001585001323,1,0,20,81001,,,,,,,,,,,,,,0
ROLLINO CACAO CREAM,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.64,1.09,10,20,8001585001330,1,0,20,,,,,,,,,,,,,,,0
MINIS SIMPSON GALLETAS,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.64,1,10,20,8412674104465,1,0,20,900333,,,,,,,,,,,,,,0
FLORBU GOUMET AVELLANAS,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.76,1,10,20,8411414013722,1,0,20,,,,,,,,,,,,,,,0
RICANELA CUETARA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.66,1,10,20,8434165469037,1,0,20,90371,,,,,,,,,,,,,,0
MINI CAMPURRIANAS CUETARA 300 GR.,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.66,1,10,20,8434165525160,1,0,20,90374,,,,,,,,,,,,,,0
CHIQUILIN GALLETA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.63,1,10,20,8410000000115,1,0,20,90403,,,,,,,,,,,,,,0
OREO ORIGINAL 154 GR.,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.81,1.15,10,20,7622300281182,1,0,20,81777,,,,,,,,,,,,,,0
FILIPINOS BLANCOS,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.6,1,10,20,8436048962659,1,0,20,90412,,,,,,,,,,,,,,0
FILIPINOS CHOCOLATE NEGRO,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.63,1,10,20,8436048409826,1,0,20,90413,,,,,,,,,,,,,,0
FILIPINOS CHOCOLATE CON LECHE,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.63,1,10,20,8436048452167,1,0,20,90414,,,,,,,,,,,,,,0
CHOCOFLAKES,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.63,1,10,20,8434165455412,1,0,20,90388,,,,,,,,,,,,,,0
TOSTA RICA,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.63,1,10,20,8434165483958,1,0,20,90373,,,,,,,,,,,,,,0
VALENCIANAS DULCESOL 12 UDS. 300 GR,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.66,1,10,20,8410087010892,1,0,20,01285,,,,,,,,,,,,,,0
CAMPURRIANAS SIN AZUCAR,SNACKS ( PEPSICO. GREFUSA DULCESOL ),0.76,1,10,20,8434165458086,1,0,20,,,,,,,,,,,,,,,0
POWERKING ENERGIY DRINK,BEBIDAS,0.24,0.47,21,20,7611612221023,1,0,20,101583,,,,,,,,,,,,,,0
RED BULL ENERGY DRINK,BEBIDAS,0.78,1.65,21,20,9002490100070,1,0,20,102808,,,,,,,,,,,,,,0
FANTA DE NARANJA ZERO,BEBIDAS,0.32,0.57,21,20,5449000120960,1,0,20,310701,,,,,,,,,,,,,,0
